parsing_datetime,code,type,strike,T,bid,ask,BA,volume,mid,spread_pct,moneyness,expiration_date,is_quoted,abs_mny_distance,IV_mid
2026-02-25 23:02:03.388679,SR390CC8,CALL,390.0,2.048,0.0,0.0,317.1,0,0.0,,0.8130769230769231,2028-03-14,False,0.18692307692307686,
2026-02-25 23:02:03.651280,SR255CF8,CALL,255.0,2.316,0.0,0.0,317.1,0,0.0,,1.243529411764706,2028-06-20,False,0.243529411764706,
2026-02-25 23:02:03.911758,SR235CL8,CALL,235.0,2.815,0.0,0.0,317.1,0,0.0,,1.3493617021276596,2028-12-20,False,0.3493617021276596,
2026-02-25 23:02:04.172166,SR205CX9,PUT,205.0,3.811,0.0,0.0,317.1,0,0.0,,1.546829268292683,2029-12-18,False,0.546829268292683,
2026-02-25 23:02:04.438598,SR300CC6B,CALL,300.0,0.036,18.31,20.2,317.1,800,19.255,0.0981563230329784,1.0570000000000002,2026-03-11,True,0.05700000000000016,0.2507777019281933
2026-02-25 23:02:04.706561,SR110CU9,PUT,110.0,3.562,0.0,0.0,317.07,0,0.0,,2.8824545454545456,2029-09-18,False,1.8824545454545456,
2026-02-25 23:02:04.966607,SR280CR8,PUT,280.0,2.316,0.0,0.0,317.1,0,0.0,,1.1325,2028-06-20,False,0.13250000000000006,
2026-02-25 23:02:05.231823,SR275CI9,CALL,275.0,3.562,0.0,0.0,317.1,0,0.0,,1.1530909090909092,2029-09-18,False,0.15309090909090917,
2026-02-25 23:02:05.497373,SR230CF9,CALL,230.0,3.313,0.0,0.0,317.1,0,0.0,,1.378695652173913,2029-06-20,False,0.3786956521739131,
2026-02-25 23:02:05.759240,SR240CU8,PUT,240.0,2.565,0.0,0.0,317.1,0,0.0,,1.32125,2028-09-19,False,0.32125000000000004,
2026-02-25 23:02:06.031652,SR120CO9,PUT,120.0,3.064,0.0,0.0,317.1,0,0.0,,2.6425,2029-03-21,False,1.6425,
2026-02-25 23:02:06.291387,SR200CX9,PUT,200.0,3.811,0.0,0.0,317.1,0,0.0,,1.5855,2029-12-18,False,0.5854999999999999,
2026-02-25 23:02:06.547988,SR250CO9,PUT,250.0,3.064,0.0,0.0,317.1,0,0.0,,1.2684000000000002,2029-03-21,False,0.2684000000000002,
2026-02-25 23:02:06.803995,SR80CU9,PUT,80.0,3.562,0.0,0.0,317.1,0,0.0,,3.96375,2029-09-18,False,2.96375,
2026-02-25 23:02:07.056258,SR315CL8,CALL,315.0,2.815,0.0,0.0,317.1,0,0.0,,1.0066666666666668,2028-12-20,False,0.006666666666666821,
2026-02-25 23:02:07.313128,SR330CU6,PUT,330.0,0.553,0.0,48.0,317.1,0,24.0,2.0,0.9609090909090908,2026-09-15,False,0.039090909090909176,0.314148079305277
2026-02-25 23:02:07.576244,SR230CU8,PUT,230.0,2.565,0.0,0.0,317.1,0,0.0,,1.378695652173913,2028-09-19,False,0.3786956521739131,
2026-02-25 23:02:07.830687,SR130CR9,PUT,130.0,3.313,0.0,0.0,317.1,0,0.0,,2.4392307692307695,2029-06-20,False,1.4392307692307695,
2026-02-25 23:02:08.099306,SR205CL8,CALL,205.0,2.815,0.0,0.0,317.1,0,0.0,,1.546829268292683,2028-12-20,False,0.546829268292683,
2026-02-25 23:02:08.366206,SR280CL8,CALL,280.0,2.815,0.0,0.0,317.1,0,0.0,,1.1325,2028-12-20,False,0.13250000000000006,
2026-02-25 23:02:08.630108,SR145CC8,CALL,145.0,2.048,0.0,0.0,317.1,0,0.0,,2.186896551724138,2028-03-14,False,1.1868965517241379,
2026-02-25 23:02:08.888582,SR225CX7,PUT,225.0,1.799,0.0,0.0,317.1,0,0.0,,1.409333333333333,2027-12-15,False,0.4093333333333331,
2026-02-25 23:02:09.176695,SR185CC0,CALL,185.0,4.06,0.0,0.0,317.1,0,0.0,,1.714054054054054,2030-03-19,False,0.7140540540540541,
2026-02-25 23:02:09.434790,SR260CX9,PUT,260.0,3.811,0.0,0.0,317.1,0,0.0,,1.2196153846153848,2029-12-18,False,0.21961538461538477,
2026-02-25 23:02:09.701227,SR300CU8,PUT,300.0,2.565,0.0,0.0,317.1,0,0.0,,1.0570000000000002,2028-09-19,False,0.05700000000000016,
2026-02-25 23:02:09.957464,SR125CU9,PUT,125.0,3.562,0.0,0.0,317.1,0,0.0,,2.5368000000000004,2029-09-18,False,1.5368000000000004,
2026-02-25 23:02:10.227359,SR310CC0,CALL,310.0,4.06,0.0,0.0,317.1,0,0.0,,1.0229032258064517,2030-03-19,False,0.022903225806451655,
2026-02-25 23:02:10.526221,SR340CO9,PUT,340.0,3.064,0.0,0.0,317.1,0,0.0,,0.9326470588235296,2029-03-21,False,0.0673529411764704,
2026-02-25 23:02:10.799895,SR225CO9,PUT,225.0,3.064,0.0,0.0,317.1,0,0.0,,1.409333333333333,2029-03-21,False,0.4093333333333331,
2026-02-25 23:02:11.065948,SR310CC8,CALL,310.0,2.048,0.0,0.0,317.1,0,0.0,,1.0229032258064517,2028-03-14,False,0.022903225806451655,
2026-02-25 23:02:11.331417,SR140CI9,CALL,140.0,3.562,0.0,0.0,317.1,0,0.0,,2.265,2029-09-18,False,1.2650000000000001,
2026-02-25 23:02:11.590335,SR85CC0,CALL,85.0,4.06,0.0,0.0,317.1,0,0.0,,3.730588235294118,2030-03-19,False,2.730588235294118,
2026-02-25 23:02:11.852034,SR95CL8,CALL,95.0,2.815,0.0,0.0,317.1,0,0.0,,3.3378947368421055,2028-12-20,False,2.3378947368421055,
2026-02-25 23:02:12.129499,SR400CF8,CALL,400.0,2.316,0.0,0.0,317.1,0,0.0,,0.7927500000000001,2028-06-20,False,0.20724999999999993,
2026-02-25 23:02:12.401618,SR80CL9,CALL,80.0,3.811,0.0,0.0,317.1,0,0.0,,3.96375,2029-12-18,False,2.96375,
2026-02-25 23:02:12.665638,SR240CO9,PUT,240.0,3.064,0.0,0.0,317.1,0,0.0,,1.32125,2029-03-21,False,0.32125000000000004,
2026-02-25 23:02:12.947483,SR215CL8,CALL,215.0,2.815,0.0,0.0,317.05,0,0.0,,1.4746511627906975,2028-12-20,False,0.4746511627906975,
2026-02-25 23:02:13.242234,SR355CL8,CALL,355.0,2.815,0.0,0.0,317.05,0,0.0,,0.8930985915492958,2028-12-20,False,0.10690140845070417,
2026-02-25 23:02:13.514176,SR200CX8,PUT,200.0,2.815,0.0,0.0,317.05,0,0.0,,1.58525,2028-12-20,False,0.58525,
2026-02-25 23:02:13.773038,SR85CU9,PUT,85.0,3.562,0.0,0.0,317.05,0,0.0,,3.73,2029-09-18,False,2.73,
2026-02-25 23:02:14.035402,SR205CO0,PUT,205.0,4.06,0.0,0.0,317.05,0,0.0,,1.5465853658536586,2030-03-19,False,0.5465853658536586,
2026-02-25 23:02:14.427412,SR370CO6,PUT,370.0,0.055,49.48,49.82,317.09,0,49.65,0.0068479355488419,0.857,2026-03-18,True,0.14300000000000002,
2026-02-25 23:02:14.691327,SR280CF9,CALL,280.0,3.313,0.0,0.0,317.09,0,0.0,,1.1324642857142857,2029-06-20,False,0.1324642857142857,
2026-02-25 23:02:14.958060,SR265CO9,PUT,265.0,3.064,0.0,0.0,317.09,0,0.0,,1.196566037735849,2029-03-21,False,0.1965660377358489,
2026-02-25 23:02:15.222493,SR240CL8,CALL,240.0,2.815,0.0,0.0,317.09,0,0.0,,1.321208333333333,2028-12-20,False,0.3212083333333331,
2026-02-25 23:02:15.490151,SR205CO8,PUT,205.0,2.048,0.0,0.0,317.09,0,0.0,,1.546780487804878,2028-03-14,False,0.5467804878048781,
2026-02-25 23:02:15.751564,SR100CX8,PUT,100.0,2.815,0.0,0.0,317.07,0,0.0,,3.1707,2028-12-20,False,2.1707,
2026-02-25 23:02:16.009624,SR350CI9,CALL,350.0,3.562,0.0,0.0,317.07,0,0.0,,0.9059142857142856,2029-09-18,False,0.09408571428571444,
2026-02-25 23:02:16.278061,SR315CO0,PUT,315.0,4.06,0.0,0.0,317.07,0,0.0,,1.0065714285714285,2030-03-19,False,0.00657142857142845,
2026-02-25 23:02:16.540659,SR130CO9,PUT,130.0,3.064,0.0,0.0,317.1,0,0.0,,2.4392307692307695,2029-03-21,False,1.4392307692307695,
2026-02-25 23:02:16.798498,SR180CX9,PUT,180.0,3.811,0.0,0.0,317.1,0,0.0,,1.7616666666666667,2029-12-18,False,0.7616666666666667,
2026-02-25 23:02:17.057154,SR230CX8,PUT,230.0,2.815,0.0,0.0,317.1,0,0.0,,1.378695652173913,2028-12-20,False,0.3786956521739131,
2026-02-25 23:02:17.317096,SR295CX8,PUT,295.0,2.815,0.0,0.0,317.1,0,0.0,,1.0749152542372882,2028-12-20,False,0.07491525423728818,
2026-02-25 23:02:17.583516,SR315CR9,PUT,315.0,3.313,0.0,0.0,317.1,0,0.0,,1.0066666666666668,2029-06-20,False,0.006666666666666821,
2026-02-25 23:02:17.838255,SR105CC9,CALL,105.0,3.064,0.0,0.0,317.1,0,0.0,,3.02,2029-03-21,False,2.02,
2026-02-25 23:02:18.100746,SR310CC9,CALL,310.0,3.064,0.0,0.0,317.1,0,0.0,,1.0229032258064517,2029-03-21,False,0.022903225806451655,
2026-02-25 23:02:18.359956,SR290CC6B,CALL,290.0,0.036,28.13,30.01,317.07,0,29.07,0.064671482628139,1.0933448275862068,2026-03-11,True,0.09334482758620677,0.33745559446596574
2026-02-25 23:02:18.626144,SR255CL8,CALL,255.0,2.815,0.0,0.0,317.07,0,0.0,,1.2434117647058822,2028-12-20,False,0.24341176470588222,
